"Assign Attributes","Associer les attributs"
"%s others","%s autres"
"%s product(s) already have that value:","%s produit(s) ont déjà cette valeur : "
"%s products selected.","%s produits sélectionnés."
"A summary of your selections and the job to be done will then be displayed for you to validate.","Un résumé de vos sélections et des opérations qui vont êtres effectuées vous sera alors présenté pour validation."
"An error occured while updating products : %s","Une erreur est survenue lors de la mise à jour : %s."
"Attribute","Attribut"
"Attribute to change.","Attribut à modifier."
"Change","Modifier"
"Cheers, bouni.","Cheers, bouni."
"First select the attribute you wish to modify an option of.","Sélectionnez dabord l'attribut dont vous voulez changer l'option."
"I hope this will be as useful for you as it has been for me and my customers.","J'espère que ce module vous sera autant utile qu'à moi et qu'à mes clients."
"Instructions","Instructions"
"It is dedicated (and limited) to ""select"" frontend_type attributes to fix a common mistake on case or mispellings during imports or updates.","Il est dédié (et limité) aux attributs de type ""select"" (frontend_type) pour réparer les erreurs courantes de casse ou d'orthographe des imports et des mises à jour."
"Lastly, select the new value you wish to assign to that attribute for selected products.","Enfin, choisissez la nouvelle valeur à attribuer à l'attribut pour les produits sélectionnés"
"Please confirm","Confirmez-vous la modification ?"
"Please provide product ids to change.","Merci de sélectionner les produits à modifer"
"Please specify the attribute to change and the target value.","Merci de choisir l'attribut à changer et sa nouvelle valeur"
"Products to alter.","Produits à modifier"
"Select an attribute:","Sélectionnez un attribut :"
"Select...","Sélectionnez..."
"Steps","Étapes"
"Submit","Valider"
"Target attribute value.","Nouvelle valeur."
"The attribute value for %s has been successfully change to %s for selected products.","La valeur de l'attribut ""%s"" a bien été modifiée par ""%s"" pour les produits sélectionnés."
"The grid will show you the value for selected attribute for every simple product in your catalog.","Le tableau vous montrera pour chaque produit la valeur actuelle de l'attribut précédemment sélectionné."
"These products:","Ces produits : "
"This module changes the option value of a selected attribute for multiple products at a time.","Ce module change la valeur d'un attribut sélectionné pour des produits choisis."
"Validate","Valider"
"Value","Valeur"
"will have their value for <strong>%s</strong> changed to <strong>%s</strong>.","auront pour valeur de l'attribut <strong>%s</strong> : <strong>%s</strong>."
"You have to validate every step before submit.","Vous devez valider toutes les étapes avant de valider."
"You will then be prompted to select (simple) products from a grid.","Vous serez ensuite invité à sélectionner les produits (simples) à modifier dans un tableau."
